Date,Open,High,Low,Close,Volume,bais_self,bais_oil,bais_CVX
2006/4/6,75.5,76.08,75.01,75.65,3679300,-0.197889182,0.006890354,-0.151260504
2006/4/7,75.6,76.05,74.66,74.92,4262900,-0.964970258,-0.002975305,-1.279245918
2006/4/10,74.93,75.92,74.92,75.45,4040400,0.707421249,0.018949567,1.824381927
2006/4/11,76.22,76.74,75.5,76.66,5325200,1.603711067,0.01083614,-0.435365037
2006/4/12,76.84,78.25,76.84,77.84,6412900,1.539264284,-0.007243228,-1.328624285
2006/4/13,77.2,77.77,76.41,76.94,4209000,-1.156217883,0.014592149,0.187489347
2006/4/17,77.49,78.8,76.29,76.45,5469400,-0.636859891,0.011074356,0.918679823
2006/4/18,77.05,79.1,76.82,78.91,7702500,3.217789405,0.013940256,2.61294673
2006/4/19,79.05,79.95,78.35,78.97,4648100,0.07603599,0.011083053,0.229998357
2006/4/20,78.99,79.32,77.25,77.97,3850300,-1.26630366,-0.001526294,-1.60629405
2006/4/21,79.45,80,77.6,77.87,6891700,-0.128254457,0.024596998,2.415458937
2006/4/24,78.25,79.72,76.73,77.38,11226000,-0.629253885,-0.04801302,-0.797007157
2006/4/25,77.28,77.28,74.77,74.93,7537200,-3.166192815,-0.039321841,-0.95097557
2006/4/26,76.06,76.8,75.61,75.95,4613000,1.361270519,0.063473231,-0.314517464
2006/4/27,74.99,75.65,73.85,75.06,6142000,-1.171823568,-0.013247804,-0.398538691
2006/4/28,75.5,76.1,75.1,75.74,4432600,0.905941913,0.014697569,1.733911304
2006/5/1,76.2,76.61,75.41,75.63,4253100,-0.145233694,0.027158774,0.245821042
2006/5/2,75.94,77.66,75.82,77.48,3857500,2.446119265,0.01179661,2.664704921
2006/5/3,77.95,78.23,76.6,78.1,3639700,0.800206505,-0.03162691,-1.433121019
2006/5/4,78.5,79.13,78.32,78.81,3640800,0.909090909,-0.031552726,0.161550889
2006/5/5,79.58,80.89,79.4,79.98,6022700,1.484583175,0.001571878,0.564516129
2006/5/8,79.99,80.12,78.91,79.9,2725300,-0.100025006,-0.004850906,-0.545308741
2006/5/9,80,81.14,79.99,81.14,2969300,1.551939925,0.013763441,1.370746654
2006/5/10,81.39,82.03,80.25,80.97,3969300,-0.20951442,0.020364871,0.031816736
2006/5/11,80.97,81.3,79.34,79.62,4367800,-1.667284179,0.011781012,-0.270356234
2006/5/12,79.25,79.5,77.68,77.81,4548800,-2.273298166,-0.015479452,-2.120873864
2006/5/15,77.81,77.9,76.22,77.47,4918800,-0.43696183,-0.03645471,-1.335940046
2006/5/16,77.96,78.97,77.12,77.34,3756300,-0.167806893,0.002166065,0.759577279
2006/5/17,76.39,77.16,75.01,75.91,6110900,-1.848978536,-0.010806916,-3.408718453
2006/5/18,76.09,76.45,74.35,74.62,6260200,-1.699380846,0.01427531,-0.407193756
2006/5/19,74.99,75.08,72.1,72.78,10337600,-2.465826856,-0.017090335,-0.391822828
2006/5/22,72,73.38,71.95,72.87,7286400,0.123660346,0.011542957,-0.427569694
2006/5/23,73.71,74.75,73.67,73.72,5703800,1.166460821,0.022389138,-0.206114737
2006/5/24,73.4,75.2,72.18,73.59,6464700,-0.176342919,-0.018508053,-0.860585198
2006/5/25,73.72,74.08,72.44,73.96,3761000,0.502785705,0.020872319,3.28125
2006/5/26,74.25,74.82,73.33,74.42,2748000,0.621957815,0.00606317,0.571524626
2006/5/30,74.43,74.44,72.06,72.16,4130200,-3.03681806,0.007007708,-2.306535183
2006/5/31,72.58,73.42,71.4,72.95,4032900,1.094789357,-0.00598469,2.292557742
2006/6/1,72.71,73.47,71.86,73.29,2910300,0.466072653,-0.018342201,0.317778893
2006/6/2,73.55,73.55,72.13,72.81,3731000,-0.65493246,0.037369847,1.283761254
2006/6/5,72.8,72.81,68.81,69.33,6864100,-4.779563247,-0.003162381,-2.304526749
2006/6/6,69.25,70.02,68.1,68.48,8730700,-1.226020482,-0.000965517,-0.707666386
2006/6/7,68.7,68.75,66.41,66.74,9782100,-2.54088785,-0.021123844,-2.986594264
2006/6/8,66.4,67.54,64.41,66.89,11897800,0.224752772,-0.009167842,1.20692671
2006/6/9,67.89,69.05,67.3,67.52,7943000,0.94184482,0.019501779,-0.570342205
2006/6/12,68.4,68.4,66.06,66.32,6336200,-1.777251185,-0.018709858,0.104293412
2006/6/13,65.63,67.5,65.41,66.33,6267900,0.015078408,-0.025611838,-1.406494183
